96.17,	3 SD Resist
95.14,	2 SD Resist
94.87,	Max Pain 0DTE
94.24,	Pivot ***
94.15,	EM+ (Expected Move)
93.78,	1 SD Resist
92.51,	Dark Pool Mid 2.90M
91.73,	Dark Pool Ask 8.45M
91.19,	Dark Pool Mid 21.77M
91.1,	Put Resistance **** 0DTE
90.69,	Dark Pool Ask 4.82M
90.63,	Dark Pool Bid 13.81M
90.52,	Dark Pool None 8.13M
89.84,	Dark Pool Mid 3.93M
89.74,	Dark Pool Ask 2.52M
89.74,	Dark Pool Ask 5.86M
87.96,	Put Wall ****
87.26,	1 SD Support
86.89,	EM- (Expected Move)
85.9,	2 SD Support
84.87,	3 SD Support
