7989,	Call Wall **** 0DTE
7979,	Call Wall *** 0DTE
7961.59,	3 SD Resist
7938.1,	2 SD Resist
7913.75,	Call Wall *** 0DTE
7907.48,	1 SD Resist
7882.89,	EM+ (Expected Move)
7840.13,	Dark Pool Bid 387.08M
7833.5,	Dark Pool None 953.24M
7833.5,	Dark Pool Bid 386.75M
7833.5,	Dark Pool Ask 228.00M
7833,	Dark Pool Bid 189.50M
7832.98,	Dark Pool Ask 1.01B
7832.96,	Dark Pool Ask 580.08M
7832.86,	Dark Pool Ask 193.36M
7823.97,	Dark Pool Bid 772.55M
7822.71,	Dark Pool Bid 386.21M
7796.69,	Dark Pool Ask 900.70M
7793.8,	Max Pain 0DTE
7784.11,	EM- (Expected Move)
7780.9,	Dark Pool Bid 307.30M
7759.52,	1 SD Support
7728.9,	2 SD Support
7718.79,	Dark Pool Bid 281.85M
7705.41,	3 SD Support
7697.98,	Max Pain 0DTE
7547.5,	Put Wall ****
7547.5,	Put Wall **** 0DTE
7497.25,	Put Wall *** 0DTE
