4586.8,	Call Wall ****
4583.5,	Call Wall **** 0DTE
4528.3,	Call Wall *** 0DTE
4461.22,	3 SD Resist
4449.95,	2 SD Resist
4449.4,	EM+ (Expected Move)
4435.26,	1 SD Resist
4423.31,	Dark Pool Ask 40.05M
4422.23,	Dark Pool Bid 15.53M
4421.28,	Dark Pool Ask 34.43M
4421.02,	Dark Pool Bid 4.17M
4417.8,	Call Wall *** 0DTE
4416.71,	Dark Pool Ask 6.00M
4416.6,	Dark Pool Ask 19.99M
4412.95,	Dark Pool Bid 8.56M
4412.8,	Dark Pool Ask 6.59M
4408.43,	Dark Pool Bid 19.46M
4406.77,	Max Pain 0DTE
4405.94,	Dark Pool Mid 3.99M
4403.79,	Dark Pool Ask 5.11M
4399.7,	Dark Pool Ask 53.93M
4399.7,	Dark Pool Bid 48.56M
4398.03,	Dark Pool Mid 5.27M
4367.23,	Dark Pool Bid 4.75M
4364.14,	1 SD Support
4350,	EM- (Expected Move)
4349.45,	2 SD Support
4338.18,	3 SD Support
4307.4,	Put Wall ****
4174.03,	Max Pain 0DTE
