31473.72,	3 SD Resist
31343.76,	2 SD Resist
31338.5,	Call Wall *** 0DTE
31174.73,	1 SD Resist
31106.04,	EM+ (Expected Move)
30927.25,	Call Wall ***
30803.76,	Dark Pool None 137.46M
30775.59,	Dark Pool Ask 270.58M
30773.95,	Dark Pool Ask 222.38M
30767.04,	Dark Pool Bid 154.24M
30766.75,	Dark Pool None 250.27M
30766.75,	Dark Pool Ask 74.04M
30765.52,	Dark Pool Bid 741.07M
30758.73,	Dark Pool Bid 370.45M
30758.53,	Dark Pool Bid 59.27M
30726.04,	Dark Pool Ask 258.11M
30701.36,	Dark Pool Ask 95.87M
30672.74,	Dark Pool Bid 88.15M
30557,	Put Wall **** 0DTE
30554.95,	Dark Pool Ask 110.39M
30547.89,	Max Pain 0DTE
30518.76,	Dark Pool Bid 294.03M
30516,	Pivot ***
30515.88,	Max Pain 0DTE
30427.46,	EM- (Expected Move)
30358.78,	1 SD Support
30310.25,	Put Wall ****
30310.25,	Put Wall **** 0DTE
30189.75,	2 SD Support
30145.75,	Call Support ****
30104.5,	Call Support ****
30059.79,	3 SD Support
29940,	Call Support ****
29899,	Put Wall ****
29693.25,	Pivot ***
29487.75,	Pivot ***
29282,	Put Wall ***
29282,	Put Wall **** 0DTE
